Artist: Muse | Album: 4 Song Sampler | Track: Muscle Museum | Error: [WinError 2] The system cannot find the file specified
Artist: Muse | Album: Hullabaloo Soundtrack | Track: Jimmy Kane | Error: [WinError 2] The system cannot find the file specified
Artist: Muse | Album: Hullabaloo Soundtrack | Track: The Gallery | Error: [WinError 2] The system cannot find the file specified
Artist: Muse | Album: Hullabaloo Soundtrack | Track: Hyper Chondriac Music | Error: [WinError 2] The system cannot find the file specified
Artist: Muse | Album: Hullabaloo Soundtrack | Track: Dead Star | Error: [WinError 2] The system cannot find the file specified
Artist: Muse | Album: Hullabaloo Soundtrack | Track: Micro Cuts | Error: [WinError 2] The system cannot find the file specified
Artist: Muse | Album: Hullabaloo Soundtrack | Track: Citizen Erased | Error: [WinError 2] The system cannot find the file specified
Artist: Muse | Album: Hullabaloo Soundtrack | Track: Sunburn | Error: [WinError 2] The system cannot find the file specified
Artist: Muse | Album: Hullabaloo Soundtrack | Track: Showbiz | Error: [WinError 2] The system cannot find the file specified
Artist: Muse | Album: Hullabaloo Soundtrack | Track: Megalomania | Error: [WinError 2] The system cannot find the file specified
Artist: Muse | Album: Hullabaloo Soundtrack | Track: Dark Shines | Error: [WinError 2] The system cannot find the file specified
Artist: Muse | Album: Hullabaloo Soundtrack | Track: Screenager | Error: [WinError 2] The system cannot find the file specified
Artist: Muse | Album: Hullabaloo Soundtrack | Track: Space Dementia | Error: [WinError 2] The system cannot find the file specified
Artist: Muse | Album: Hullabaloo Soundtrack | Track: In Your World | Error: [WinError 2] The system cannot find the file specified
Artist: Muse | Album: Hullabaloo Soundtrack | Track: Muscle Museum | Error: [WinError 2] The system cannot find the file specified
Artist: Muse | Album: Hullabaloo Soundtrack | Track: Agitated | Error: [WinError 2] The system cannot find the file specified
Artist: Muse | Album: Muse Exclusive Enhanced Sampler | Track: New Born | Error: [WinError 2] The system cannot find the file specified
Artist: Muse | Album: Muse Exclusive Enhanced Sampler | Track: Plug In Baby | Error: [WinError 2] The system cannot find the file specified
Artist: Muse | Album: Muse Exclusive Enhanced Sampler | Track: Muscle Museum | Error: [WinError 2] The system cannot find the file specified
Artist: Muse | Album: Muse Exclusive Enhanced Sampler | Track: Sunburn | Error: [WinError 2] The system cannot find the file specified
Artist: 21 Savage | Album: 21 Gang | Track: 21 Way | Error: ERROR: ffprobe and ffmpeg not found. Please install or provide the path using --ffmpeg-location
Artist: 21 Savage | Album: 21 Gang | Track: Soda | Error: ERROR: ffprobe and ffmpeg not found. Please install or provide the path using --ffmpeg-location
Artist: 21 Savage | Album: 21 Gang | Track: Hollow Tips | Error: ERROR: ffprobe and ffmpeg not found. Please install or provide the path using --ffmpeg-location
Artist: 21 Savage | Album: 21 Gang | Track: Oh Ok | Error: ERROR: ffprobe and ffmpeg not found. Please install or provide the path using --ffmpeg-location
Artist: 21 Savage | Album: 21 Gang | Track: First Night | Error: ERROR: ffprobe and ffmpeg not found. Please install or provide the path using --ffmpeg-location
Artist: 21 Savage | Album: 21 Gang | Track: Extendo | Error: ERROR: ffprobe and ffmpeg not found. Please install or provide the path using --ffmpeg-location
Artist: coldplay | Album: In My Place | Track: In My Place | Error: ERROR: ffprobe and ffmpeg not found. Please install or provide the path using --ffmpeg-location
Artist: coldplay | Album: In My Place | Track: One I Love | Error: ERROR: ffprobe and ffmpeg not found. Please install or provide the path using --ffmpeg-location
Artist: coldplay | Album: In My Place | Track: I Bloom Blaum | Error: ERROR: ffprobe and ffmpeg not found. Please install or provide the path using --ffmpeg-location
Artist: coldplay | Album: A Rush of B-Sides to Your Head | Track: Bigger Stronger | Error: ERROR: ffprobe and ffmpeg not found. Please install or provide the path using --ffmpeg-location
Artist: coldplay | Album: In My Place | Track: In My Place | Error: ERROR: ffprobe and ffmpeg not found. Please install or provide the path using --ffmpeg-location
Artist: coldplay | Album: In My Place | Track: One I Love | Error: ERROR: ffprobe and ffmpeg not found. Please install or provide the path using --ffmpeg-location
Artist: coldplay | Album: Shiver | Track: Shiver | Error: ERROR: ffprobe and ffmpeg not found. Please install or provide the path using --ffmpeg-location
Artist: coldplay | Album: Parachutes | Track: Don't Panic | Error: ERROR: ffprobe and ffmpeg not found. Please install or provide the path using --ffmpeg-location
Artist: coldplay | Album: Parachutes | Track: Shiver | Error: ERROR: ffprobe and ffmpeg not found. Please install or provide the path using --ffmpeg-location
Artist: coldplay | Album: Parachutes | Track: Spies | Error: ERROR: ffprobe and ffmpeg not found. Please install or provide the path using --ffmpeg-location
Artist: coldplay | Album: Viva La Vida or Death and All His Friends | Track: Viva La Vida | Error: Command '['yt-dlp', 'ytsearch1:coldplay Viva La Vida Viva La Vida or Death and All His Friends', '--extract-audio', '--audio-format', 'mp3', '--audio-quality', '4', '--output', 'D:\\Music\\coldplay\\Viva La Vida or Death and All His Friends\\Viva La Vida.%(ext)s', '--add-metadata', '--postprocessor-args', "ffmpeg:-metadata artist='coldplay' -metadata album_artist='coldplay' -metadata album='Viva La Vida or Death and All His Friends' -metadata title='Viva La Vida' -metadata date=2008 -id3v2_version 3", '--no-playlist', '--ignore-errors', '--quiet', '--no-warnings', '--trim-filenames', '100', '--sleep-interval', '2', '--max-sleep-interval', '5', '--user-agent', 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36']' timed out after 120 seconds
Artist: 21 Savage | Album: Her Loss | Track: P***y & Millions (feat. Travis Scott) | Error: ERROR: [youtube] 8LpAtRIakkk: Sign in to confirm your age. This video may be inappropriate for some users. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
Artist: 21 Savage | Album: Her Loss | Track: I Guess It’s F**k Me | Error: ERROR: [youtube] sA5oJZ20CnU: Sign in to confirm your age. This video may be inappropriate for some users. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
Artist: 21 Savage | Album: Beethoven: The Complete Symphonies | Track: Symphony No. 3 in E-Flat Major, Op. 55 "Eroica": II. Marcia funebre. Adagio assai | Error: Download failed (no output file created)
Artist: 21 Savage | Album: Beethoven: The Complete Symphonies | Track: Symphony No. 3 in E-Flat Major, Op. 55 "Eroica": III. Scherzo. Allegro vivace | Error: Download failed (no output file created)
Artist: 21 Savage | Album: Beethoven: The Complete Symphonies | Track: Symphony No. 3 in E-Flat Major, Op. 55 "Eroica": IV. Finale. Allegro molto | Error: Download failed (no output file created)
Artist: 21 Savage | Album: Beethoven: The Complete Symphonies | Track: Symphony No. 2 in D Major, Op. 36: I. Adagio molto - Allegro con brio | Error: Download failed (no output file created)
Artist: 21 Savage | Album: Beethoven: The Complete Symphonies | Track: Symphony No. 2 in D Major, Op. 36: II. Larghetto | Error: Download failed (no output file created)
Artist: 21 Savage | Album: Beethoven: The Complete Symphonies | Track: Symphony No. 2 in D Major, Op. 36: III. Scherzo. Allegro | Error: Download failed (no output file created)
Artist: 21 Savage | Album: Beethoven: The Complete Symphonies | Track: Symphony No. 7 in A Major, Op. 92: I. Poco sostenuto - Vivace | Error: Download failed (no output file created)
Artist: 21 Savage | Album: Beethoven: The Complete Symphonies | Track: Symphony No. 7 in A Major, Op. 92: III. Presto - Assai meno presto | Error: Download failed (no output file created)
Artist: 21 Savage | Album: Beethoven: The Complete Symphonies | Track: Symphony No. 4 in B-Flat Major, Op. 60: III. Menuetto. Allegro vivace | Error: Download failed (no output file created)
Artist: 21 Savage | Album: Beethoven: The Complete Symphonies | Track: Symphony No. 4 in B-Flat Major, Op. 60: IV. Allegro ma non troppo | Error: Download failed (no output file created)
Artist: 21 Savage | Album: Beethoven: The Complete Symphonies | Track: Symphony No. 6 in F Major, Op. 68 "Pastoral": I. Erwachen heiterer Empfindungen bei der Ankunft auf dem Lande. Allegro ma non troppo | Error: Download failed (no output file created)
Artist: 21 Savage | Album: Beethoven: The Complete Symphonies | Track: Symphony No. 6 in F Major, Op. 68 "Pastoral": II. Szene am Bach. Andante molto moto | Error: Download failed (no output file created)
Artist: 21 Savage | Album: Beethoven: The Complete Symphonies | Track: Symphony No. 6 in F Major, Op. 68 "Pastoral": III. Lustiges Zusammensein der Landleute. Allegro | Error: Download failed (no output file created)
Artist: 21 Savage | Album: Beethoven: The Complete Symphonies | Track: Symphony No. 6 in F Major, Op. 68 "Pastoral": IV. Gewitter. Sturm. Allegro | Error: Download failed (no output file created)
Artist: 21 Savage | Album: Beethoven: The Complete Symphonies | Track: Symphony No. 6 in F Major, Op. 68 "Pastoral": V. Hirtengesang. Frohe und dankbare Gefühle nach dem Sturm. Allegretto | Error: Download failed (no output file created)
Artist: 21 Savage | Album: Beethoven: The Complete Symphonies | Track: Symphony No. 8 in F Major, Op. 93: I. Allegro vivace e con brio | Error: Download failed (no output file created)
Artist: 21 Savage | Album: Beethoven: The Complete Symphonies | Track: Symphony No. 8 in F Major, Op. 93: II. Allegretto scherzando | Error: Download failed (no output file created)
Artist: 21 Savage | Album: Beethoven: The Complete Symphonies | Track: Symphony No. 8 in F Major, Op. 93: III. Tempo di Menuetto | Error: Download failed (no output file created)
Artist: 21 Savage | Album: Beethoven: The Complete Symphonies | Track: Symphony No. 8 in F Major, Op. 93: IV. Allegro vivace | Error: Download failed (no output file created)
Artist: 21 Savage | Album: Beethoven: The Complete Symphonies | Track: Symphony No. 9 in D Minor, Op. 125 "Choral": IV. Finale. Presto - Allegro assai - O Freunde, nicht diese Töne! (Ode to Joy) | Error: Download failed (no output file created)
Artist: coldplay | Album: Viva La Vida or Death and All His Friends | Track: Viva La Vida | Error: ERROR: Could not copy Chrome cookie database. See  https://github.com/yt-dlp/yt-dlp/issues/7271  for more info
Artist: 21 Savage | Album: Her Loss | Track: P***y & Millions (feat. Travis Scott) | Error: ERROR: Could not copy Chrome cookie database. See  https://github.com/yt-dlp/yt-dlp/issues/7271  for more info
Artist: 21 Savage | Album: Her Loss | Track: I Guess It’s F**k Me | Error: ERROR: Could not copy Chrome cookie database. See  https://github.com/yt-dlp/yt-dlp/issues/7271  for more info
Artist: 21 Savage | Album: Beethoven: The Complete Symphonies | Track: Symphony No. 3 in E-Flat Major, Op. 55 "Eroica": II. Marcia funebre. Adagio assai | Error: ERROR: Could not copy Chrome cookie database. See  https://github.com/yt-dlp/yt-dlp/issues/7271  for more info
Artist: 21 Savage | Album: Beethoven: The Complete Symphonies | Track: Symphony No. 3 in E-Flat Major, Op. 55 "Eroica": III. Scherzo. Allegro vivace | Error: ERROR: Could not copy Chrome cookie database. See  https://github.com/yt-dlp/yt-dlp/issues/7271  for more info
Artist: 21 Savage | Album: Beethoven: The Complete Symphonies | Track: Symphony No. 3 in E-Flat Major, Op. 55 "Eroica": IV. Finale. Allegro molto | Error: ERROR: Could not copy Chrome cookie database. See  https://github.com/yt-dlp/yt-dlp/issues/7271  for more info
Artist: 21 Savage | Album: Beethoven: The Complete Symphonies | Track: Symphony No. 2 in D Major, Op. 36: I. Adagio molto - Allegro con brio | Error: ERROR: Could not copy Chrome cookie database. See  https://github.com/yt-dlp/yt-dlp/issues/7271  for more info
Artist: 21 Savage | Album: Beethoven: The Complete Symphonies | Track: Symphony No. 2 in D Major, Op. 36: II. Larghetto | Error: ERROR: Could not copy Chrome cookie database. See  https://github.com/yt-dlp/yt-dlp/issues/7271  for more info
Artist: 21 Savage | Album: Beethoven: The Complete Symphonies | Track: Symphony No. 2 in D Major, Op. 36: III. Scherzo. Allegro | Error: ERROR: Could not copy Chrome cookie database. See  https://github.com/yt-dlp/yt-dlp/issues/7271  for more info
Artist: 21 Savage | Album: Beethoven: The Complete Symphonies | Track: Symphony No. 7 in A Major, Op. 92: I. Poco sostenuto - Vivace | Error: ERROR: Could not copy Chrome cookie database. See  https://github.com/yt-dlp/yt-dlp/issues/7271  for more info
Artist: 21 Savage | Album: Beethoven: The Complete Symphonies | Track: Symphony No. 7 in A Major, Op. 92: III. Presto - Assai meno presto | Error: ERROR: Could not copy Chrome cookie database. See  https://github.com/yt-dlp/yt-dlp/issues/7271  for more info
Artist: 21 Savage | Album: Beethoven: The Complete Symphonies | Track: Symphony No. 4 in B-Flat Major, Op. 60: III. Menuetto. Allegro vivace | Error: ERROR: Could not copy Chrome cookie database. See  https://github.com/yt-dlp/yt-dlp/issues/7271  for more info
Artist: 21 Savage | Album: Beethoven: The Complete Symphonies | Track: Symphony No. 4 in B-Flat Major, Op. 60: IV. Allegro ma non troppo | Error: ERROR: Could not copy Chrome cookie database. See  https://github.com/yt-dlp/yt-dlp/issues/7271  for more info
Artist: 21 Savage | Album: Beethoven: The Complete Symphonies | Track: Symphony No. 6 in F Major, Op. 68 "Pastoral": I. Erwachen heiterer Empfindungen bei der Ankunft auf dem Lande. Allegro ma non troppo | Error: ERROR: Could not copy Chrome cookie database. See  https://github.com/yt-dlp/yt-dlp/issues/7271  for more info
Artist: 21 Savage | Album: Beethoven: The Complete Symphonies | Track: Symphony No. 6 in F Major, Op. 68 "Pastoral": II. Szene am Bach. Andante molto moto | Error: ERROR: Could not copy Chrome cookie database. See  https://github.com/yt-dlp/yt-dlp/issues/7271  for more info
Artist: 21 Savage | Album: Beethoven: The Complete Symphonies | Track: Symphony No. 6 in F Major, Op. 68 "Pastoral": III. Lustiges Zusammensein der Landleute. Allegro | Error: ERROR: Could not copy Chrome cookie database. See  https://github.com/yt-dlp/yt-dlp/issues/7271  for more info
Artist: 21 Savage | Album: Beethoven: The Complete Symphonies | Track: Symphony No. 6 in F Major, Op. 68 "Pastoral": IV. Gewitter. Sturm. Allegro | Error: ERROR: Could not copy Chrome cookie database. See  https://github.com/yt-dlp/yt-dlp/issues/7271  for more info
Artist: 21 Savage | Album: Beethoven: The Complete Symphonies | Track: Symphony No. 6 in F Major, Op. 68 "Pastoral": V. Hirtengesang. Frohe und dankbare Gefühle nach dem Sturm. Allegretto | Error: ERROR: Could not copy Chrome cookie database. See  https://github.com/yt-dlp/yt-dlp/issues/7271  for more info
Artist: 21 Savage | Album: Beethoven: The Complete Symphonies | Track: Symphony No. 8 in F Major, Op. 93: I. Allegro vivace e con brio | Error: ERROR: Could not copy Chrome cookie database. See  https://github.com/yt-dlp/yt-dlp/issues/7271  for more info
Artist: 21 Savage | Album: Beethoven: The Complete Symphonies | Track: Symphony No. 8 in F Major, Op. 93: II. Allegretto scherzando | Error: ERROR: Could not copy Chrome cookie database. See  https://github.com/yt-dlp/yt-dlp/issues/7271  for more info
Artist: 21 Savage | Album: Beethoven: The Complete Symphonies | Track: Symphony No. 8 in F Major, Op. 93: III. Tempo di Menuetto | Error: ERROR: Could not copy Chrome cookie database. See  https://github.com/yt-dlp/yt-dlp/issues/7271  for more info
Artist: 21 Savage | Album: Beethoven: The Complete Symphonies | Track: Symphony No. 8 in F Major, Op. 93: IV. Allegro vivace | Error: ERROR: Could not copy Chrome cookie database. See  https://github.com/yt-dlp/yt-dlp/issues/7271  for more info
Artist: 21 Savage | Album: Beethoven: The Complete Symphonies | Track: Symphony No. 9 in D Minor, Op. 125 "Choral": IV. Finale. Presto - Allegro assai - O Freunde, nicht diese Töne! (Ode to Joy) | Error: ERROR: Could not copy Chrome cookie database. See  https://github.com/yt-dlp/yt-dlp/issues/7271  for more info
Artist: 21 Savage | Album: WHAT HAPPENED TO THE STREETS? | Track: DOG $HIT | Error: ERROR: Could not copy Chrome cookie database. See  https://github.com/yt-dlp/yt-dlp/issues/7271  for more info
Artist: 21 Savage | Album: WHAT HAPPENED TO THE STREETS? | Track: CODE OF HONOR | Error: ERROR: Could not copy Chrome cookie database. See  https://github.com/yt-dlp/yt-dlp/issues/7271  for more info
Artist: 21 Savage | Album: WHAT HAPPENED TO THE STREETS? | Track: GANG OVER EVERYTHING | Error: ERROR: Could not copy Chrome cookie database. See  https://github.com/yt-dlp/yt-dlp/issues/7271  for more info
Artist: 21 Savage | Album: WHAT HAPPENED TO THE STREETS? | Track: HALFTIME INTERLUDE | Error: ERROR: Could not copy Chrome cookie database. See  https://github.com/yt-dlp/yt-dlp/issues/7271  for more info
Artist: 21 Savage | Album: WHAT HAPPENED TO THE STREETS? | Track: BIG STEPPER | Error: ERROR: Could not copy Chrome cookie database. See  https://github.com/yt-dlp/yt-dlp/issues/7271  for more info
Artist: 21 Savage | Album: WHAT HAPPENED TO THE STREETS? | Track: ATLANTA TEARS | Error: ERROR: Could not copy Chrome cookie database. See  https://github.com/yt-dlp/yt-dlp/issues/7271  for more info
Artist: 21 Savage | Album: WHAT HAPPENED TO THE STREETS? | Track: I WISH | Error: ERROR: Could not copy Chrome cookie database. See  https://github.com/yt-dlp/yt-dlp/issues/7271  for more info
Artist: 50 Cent | Album: Brood or Change | Track: Geronimo | Error: ERROR: Could not copy Chrome cookie database. See  https://github.com/yt-dlp/yt-dlp/issues/7271  for more info
Artist: 50 Cent | Album: Brood or Change | Track: Travertine Dell | Error: ERROR: Could not copy Chrome cookie database. See  https://github.com/yt-dlp/yt-dlp/issues/7271  for more info
Artist: 50 Cent | Album: Brood or Change | Track: Matchbox | Error: ERROR: Could not copy Chrome cookie database. See  https://github.com/yt-dlp/yt-dlp/issues/7271  for more info
Artist: 50 Cent | Album: Brood or Change | Track: Learn to Spell | Error: ERROR: Could not copy Chrome cookie database. See  https://github.com/yt-dlp/yt-dlp/issues/7271  for more info
Artist: coldplay | Album: Viva La Vida or Death and All His Friends | Track: Viva La Vida | Error: ERROR: Could not copy Chrome cookie database. See  https://github.com/yt-dlp/yt-dlp/issues/7271  for more info
Artist: 21 Savage | Album: Her Loss | Track: P***y & Millions (feat. Travis Scott) | Error: ERROR: Could not copy Chrome cookie database. See  https://github.com/yt-dlp/yt-dlp/issues/7271  for more info
Artist: 21 Savage | Album: Her Loss | Track: I Guess It’s F**k Me | Error: ERROR: Could not copy Chrome cookie database. See  https://github.com/yt-dlp/yt-dlp/issues/7271  for more info
Artist: 21 Savage | Album: Beethoven: The Complete Symphonies | Track: Symphony No. 3 in E-Flat Major, Op. 55 "Eroica": II. Marcia funebre. Adagio assai | Error: ERROR: Could not copy Chrome cookie database. See  https://github.com/yt-dlp/yt-dlp/issues/7271  for more info
Artist: 21 Savage | Album: Beethoven: The Complete Symphonies | Track: Symphony No. 3 in E-Flat Major, Op. 55 "Eroica": III. Scherzo. Allegro vivace | Error: ERROR: Could not copy Chrome cookie database. See  https://github.com/yt-dlp/yt-dlp/issues/7271  for more info
Artist: 21 Savage | Album: Beethoven: The Complete Symphonies | Track: Symphony No. 3 in E-Flat Major, Op. 55 "Eroica": IV. Finale. Allegro molto | Error: ERROR: Could not copy Chrome cookie database. See  https://github.com/yt-dlp/yt-dlp/issues/7271  for more info
Artist: 21 Savage | Album: Beethoven: The Complete Symphonies | Track: Symphony No. 2 in D Major, Op. 36: I. Adagio molto - Allegro con brio | Error: ERROR: Could not copy Chrome cookie database. See  https://github.com/yt-dlp/yt-dlp/issues/7271  for more info
Artist: 21 Savage | Album: Beethoven: The Complete Symphonies | Track: Symphony No. 2 in D Major, Op. 36: II. Larghetto | Error: ERROR: Could not copy Chrome cookie database. See  https://github.com/yt-dlp/yt-dlp/issues/7271  for more info
Artist: 21 Savage | Album: Beethoven: The Complete Symphonies | Track: Symphony No. 2 in D Major, Op. 36: III. Scherzo. Allegro | Error: ERROR: Could not copy Chrome cookie database. See  https://github.com/yt-dlp/yt-dlp/issues/7271  for more info
Artist: 21 Savage | Album: Beethoven: The Complete Symphonies | Track: Symphony No. 7 in A Major, Op. 92: I. Poco sostenuto - Vivace | Error: ERROR: Could not copy Chrome cookie database. See  https://github.com/yt-dlp/yt-dlp/issues/7271  for more info
Artist: 21 Savage | Album: Beethoven: The Complete Symphonies | Track: Symphony No. 7 in A Major, Op. 92: III. Presto - Assai meno presto | Error: ERROR: Could not copy Chrome cookie database. See  https://github.com/yt-dlp/yt-dlp/issues/7271  for more info
Artist: 21 Savage | Album: Beethoven: The Complete Symphonies | Track: Symphony No. 4 in B-Flat Major, Op. 60: III. Menuetto. Allegro vivace | Error: ERROR: Could not copy Chrome cookie database. See  https://github.com/yt-dlp/yt-dlp/issues/7271  for more info
Artist: 21 Savage | Album: Beethoven: The Complete Symphonies | Track: Symphony No. 4 in B-Flat Major, Op. 60: IV. Allegro ma non troppo | Error: ERROR: Could not copy Chrome cookie database. See  https://github.com/yt-dlp/yt-dlp/issues/7271  for more info
Artist: 21 Savage | Album: Beethoven: The Complete Symphonies | Track: Symphony No. 6 in F Major, Op. 68 "Pastoral": I. Erwachen heiterer Empfindungen bei der Ankunft auf dem Lande. Allegro ma non troppo | Error: ERROR: Could not copy Chrome cookie database. See  https://github.com/yt-dlp/yt-dlp/issues/7271  for more info
Artist: 21 Savage | Album: Beethoven: The Complete Symphonies | Track: Symphony No. 6 in F Major, Op. 68 "Pastoral": II. Szene am Bach. Andante molto moto | Error: ERROR: Could not copy Chrome cookie database. See  https://github.com/yt-dlp/yt-dlp/issues/7271  for more info
Artist: 21 Savage | Album: Beethoven: The Complete Symphonies | Track: Symphony No. 6 in F Major, Op. 68 "Pastoral": III. Lustiges Zusammensein der Landleute. Allegro | Error: ERROR: Could not copy Chrome cookie database. See  https://github.com/yt-dlp/yt-dlp/issues/7271  for more info
Artist: 21 Savage | Album: Beethoven: The Complete Symphonies | Track: Symphony No. 6 in F Major, Op. 68 "Pastoral": IV. Gewitter. Sturm. Allegro | Error: ERROR: Could not copy Chrome cookie database. See  https://github.com/yt-dlp/yt-dlp/issues/7271  for more info
Artist: 21 Savage | Album: Beethoven: The Complete Symphonies | Track: Symphony No. 6 in F Major, Op. 68 "Pastoral": V. Hirtengesang. Frohe und dankbare Gefühle nach dem Sturm. Allegretto | Error: ERROR: Could not copy Chrome cookie database. See  https://github.com/yt-dlp/yt-dlp/issues/7271  for more info
Artist: 21 Savage | Album: Beethoven: The Complete Symphonies | Track: Symphony No. 8 in F Major, Op. 93: I. Allegro vivace e con brio | Error: ERROR: Could not copy Chrome cookie database. See  https://github.com/yt-dlp/yt-dlp/issues/7271  for more info
Artist: 21 Savage | Album: Beethoven: The Complete Symphonies | Track: Symphony No. 8 in F Major, Op. 93: II. Allegretto scherzando | Error: ERROR: Could not copy Chrome cookie database. See  https://github.com/yt-dlp/yt-dlp/issues/7271  for more info
Artist: 21 Savage | Album: Beethoven: The Complete Symphonies | Track: Symphony No. 8 in F Major, Op. 93: III. Tempo di Menuetto | Error: ERROR: Could not copy Chrome cookie database. See  https://github.com/yt-dlp/yt-dlp/issues/7271  for more info
Artist: 21 Savage | Album: Beethoven: The Complete Symphonies | Track: Symphony No. 8 in F Major, Op. 93: IV. Allegro vivace | Error: ERROR: Could not copy Chrome cookie database. See  https://github.com/yt-dlp/yt-dlp/issues/7271  for more info
Artist: 21 Savage | Album: Beethoven: The Complete Symphonies | Track: Symphony No. 9 in D Minor, Op. 125 "Choral": IV. Finale. Presto - Allegro assai - O Freunde, nicht diese Töne! (Ode to Joy) | Error: ERROR: Could not copy Chrome cookie database. See  https://github.com/yt-dlp/yt-dlp/issues/7271  for more info
Artist: 21 Savage | Album: WHAT HAPPENED TO THE STREETS? | Track: DOG $HIT | Error: ERROR: Could not copy Chrome cookie database. See  https://github.com/yt-dlp/yt-dlp/issues/7271  for more info
Artist: 21 Savage | Album: WHAT HAPPENED TO THE STREETS? | Track: CODE OF HONOR | Error: ERROR: Could not copy Chrome cookie database. See  https://github.com/yt-dlp/yt-dlp/issues/7271  for more info
Artist: 21 Savage | Album: WHAT HAPPENED TO THE STREETS? | Track: GANG OVER EVERYTHING | Error: ERROR: Could not copy Chrome cookie database. See  https://github.com/yt-dlp/yt-dlp/issues/7271  for more info
Artist: 21 Savage | Album: WHAT HAPPENED TO THE STREETS? | Track: HALFTIME INTERLUDE | Error: ERROR: Could not copy Chrome cookie database. See  https://github.com/yt-dlp/yt-dlp/issues/7271  for more info
Artist: 21 Savage | Album: WHAT HAPPENED TO THE STREETS? | Track: BIG STEPPER | Error: ERROR: Could not copy Chrome cookie database. See  https://github.com/yt-dlp/yt-dlp/issues/7271  for more info
Artist: 21 Savage | Album: WHAT HAPPENED TO THE STREETS? | Track: ATLANTA TEARS | Error: ERROR: Could not copy Chrome cookie database. See  https://github.com/yt-dlp/yt-dlp/issues/7271  for more info
Artist: 21 Savage | Album: WHAT HAPPENED TO THE STREETS? | Track: I WISH | Error: ERROR: Could not copy Chrome cookie database. See  https://github.com/yt-dlp/yt-dlp/issues/7271  for more info
Artist: 50 Cent | Album: Brood or Change | Track: Geronimo | Error: ERROR: Could not copy Chrome cookie database. See  https://github.com/yt-dlp/yt-dlp/issues/7271  for more info
Artist: 50 Cent | Album: Brood or Change | Track: Travertine Dell | Error: ERROR: Could not copy Chrome cookie database. See  https://github.com/yt-dlp/yt-dlp/issues/7271  for more info
